Student_ID,Gender,Age,Study_Hours_Daily,Phone_Usage_Hours_Daily,Sleep_Hours_Daily,AI_Tool_Usage_Hours_Daily,Attendance_Pct,Focus_Score,Productivity_Score,Exam_Score
STU00049,Male,23,6.0,0.3,6.8,0.9,100.0,75.5,78.7,92.9
STU00050,Male,25,2.5,3.6,7.7,0.0,77.4,76.2,58.4,71.3
STU00051,Male,22,5.3,0.0,7.1,1.5,86.0,80.4,81.4,84.6
STU00052,Female,22,2.5,3.0,6.8,1.1,79.6,75.6,67.1,78.5
STU00053,Male,22,1.8,6.5,7.4,0.0,68.2,72.3,57.1,60.3
STU00054,Male,25,2.3,2.4,6.7,1.5,85.7,74.7,64.9,74.2
STU00055,Male,24,4.9,1.6,7.1,1.9,100.0,89.2,79.7,87.8
STU00056,Female,20,0.7,6.3,6.2,0.0,40.2,68.7,50.3,48.7
STU00057,Female,22,2.4,2.7,7.0,0.0,77.2,74.6,58.0,68.5
STU00058,Male,21,6.8,3.3,8.4,2.2,100.0,77.2,86.5,96.4
STU00059,Female,23,0.0,8.9,5.8,0.5,40.4,54.2,38.8,42.5
STU00060,Female,24,4.6,3.0,6.8,1.9,86.7,78.0,87.0,87.2
STU00061,Female,19,3.8,4.4,6.9,1.3,84.7,71.1,69.4,80.4
STU00062,Male,20,1.4,3.5,7.9,1.8,84.6,78.9,69.5,72.7
STU00063,Male,23,5.8,0.7,9.2,1.3,100.0,88.9,82.9,96.1
STU00064,Male,18,0.8,9.1,5.2,0.0,37.4,46.9,44.7,46.8
STU00065,Male,21,0.1,10.5,4.9,0.0,42.5,37.0,41.7,50.3
STU00066,Male,18,0.6,8.2,7.0,0.5,70.9,61.5,50.7,59.0
STU00067,Female,24,3.0,5.6,6.8,1.8,89.3,63.7,63.7,76.8
STU00068,Male,22,2.8,5.9,5.2,0.2,94.0,62.8,53.7,78.0
STU00069,Male,18,6.0,0.0,9.2,0.8,94.6,90.0,81.7,95.4
STU00070,Male,25,2.8,6.8,8.7,0.4,81.4,73.1,57.1,72.2
STU00071,Male,20,2.6,5.0,6.5,2.3,89.2,64.3,62.9,73.1
STU00072,Female,20,5.1,1.4,6.0,1.3,100.0,67.7,76.4,92.2
STU00073,Male,22,0.0,9.3,6.4,0.3,31.8,50.2,43.3,40.2
STU00074,Female,23,1.0,5.4,5.8,0.1,73.6,64.5,51.9,63.3
STU00075,Female,22,5.0,1.6,7.9,2.0,89.1,73.7,77.5,87.7
STU00076,Female,21,4.7,0.8,8.1,0.8,100.0,87.1,78.6,82.1
STU00077,Male,18,2.9,4.7,7.3,0.7,84.0,72.8,62.2,77.9
STU00078,Male,20,0.0,9.3,6.3,0.0,42.5,49.5,44.9,49.0
STU00079,Female,23,2.9,3.4,6.6,1.4,77.1,73.2,66.2,70.6
STU00080,Male,25,1.1,8.5,5.7,1.8,61.9,52.1,53.5,56.8
STU00081,Female,22,0.4,7.3,6.2,0.7,42.4,60.1,39.5,45.3
STU00082,Female,18,5.2,5.1,8.0,2.2,94.0,71.7,79.6,90.3
STU00083,Male,24,1.3,7.2,4.2,0.2,52.0,50.3,51.7,56.6
STU00084,Male,23,5.6,0.6,9.6,3.4,88.3,87.8,86.0,91.3
STU00085,Male,22,2.0,4.0,8.1,2.2,74.9,77.0,65.6,67.2
STU00086,Male,23,2.5,4.5,5.2,0.0,71.5,62.0,61.9,66.5
STU00087,Male,18,0.0,9.6,6.7,0.1,38.5,56.6,43.9,43.5
STU00088,Male,25,3.7,5.1,7.3,1.4,74.8,71.5,72.5,80.3
STU00089,Female,22,2.1,4.8,7.2,0.0,80.7,75.0,65.0,70.6
STU00090,Female,20,5.6,2.8,8.9,2.2,100.0,83.0,84.0,95.9
STU00091,Male,18,6.9,1.2,8.3,2.8,96.4,79.8,86.0,100.0
STU00092,Female,24,1.5,3.8,7.2,0.7,77.5,72.2,55.5,63.8
STU00093,Female,19,1.6,6.4,6.4,0.0,62.9,66.6,53.4,57.7
STU00094,Male,25,2.0,6.2,7.1,0.4,70.9,58.6,51.4,62.5
STU00095,Female,21,0.0,8.9,7.1,0.0,52.5,61.8,51.0,53.8
STU00096,Female,22,3.0,3.7,7.7,0.0,91.8,73.5,67.0,80.9
STU00097,Male,19,7.3,0.7,7.3,2.3,92.5,78.0,90.2,100.0
STU00098,Female,22,0.0,11.0,4.4,0.0,53.1,40.2,53.1,51.2
STU00099,Male,19,2.3,11.1,6.7,0.3,32.0,54.3,60.9,53.7
STU00100,Male,25,2.5,5.4,6.4,1.5,78.5,64.9,63.3,77.7
STU00101,Female,20,2.5,9.0,6.2,0.0,46.1,57.6,58.0,61.9
STU00102,Male,23,2.6,4.1,5.0,0.0,67.7,67.3,60.2,69.5
STU00103,Male,23,4.2,4.5,8.3,0.4,80.0,82.0,82.0,84.7
STU00104,Female,23,3.0,5.3,7.3,0.9,85.5,72.7,69.9,74.7
STU00105,Female,21,3.0,3.3,8.7,3.0,100.0,85.4,82.8,85.7
STU00106,Female,25,2.7,0.3,7.2,0.8,71.4,85.3,67.3,71.6
STU00107,Other,21,5.5,2.7,9.4,2.7,97.9,89.1,90.9,96.7
STU00108,Female,20,1.3,4.4,6.4,0.5,96.7,70.0,57.4,69.4
STU00109,Male,25,4.1,1.7,8.1,2.5,97.6,86.9,75.8,86.7
STU00110,Female,24,4.2,5.8,7.5,0.1,78.4,62.8,71.4,83.6
STU00111,Female,25,0.6,7.1,5.8,1.8,73.3,49.8,44.5,54.0
STU00112,Female,18,1.4,6.2,7.7,1.1,75.7,65.2,58.6,66.4
STU00113,Female,22,0.5,8.1,5.2,0.0,59.8,48.6,46.9,53.9
STU00114,Female,22,3.7,5.7,6.2,1.8,83.4,59.2,71.2,76.9
STU00115,Male,25,2.4,9.3,4.6,3.0,77.9,51.8,63.5,76.0
STU00116,Female,22,1.5,10.1,5.4,0.4,46.5,45.1,47.9,53.4
STU00117,Female,20,0.2,5.9,6.0,0.1,48.2,71.8,50.5,44.1
STU00118,Female,25,1.3,4.6,6.1,2.1,83.2,63.0,59.3,65.3
STU00119,Male,18,3.2,5.1,7.2,0.7,88.8,71.0,57.7,70.6
STU00120,Male,18,1.2,8.6,6.4,1.0,68.3,55.5,54.6,63.3
STU00121,Male,25,1.5,8.5,4.5,1.0,35.3,54.0,52.6,48.6
STU00122,Male,22,1.1,5.2,7.4,0.9,82.5,71.3,58.8,68.2
STU00123,Male,24,2.4,3.6,6.7,2.4,78.9,64.7,63.8,75.6
STU00124,Other,18,1.7,3.7,6.6,0.9,84.6,63.2,62.3,72.5
STU00125,Female,24,5.9,2.6,9.3,1.2,88.9,84.0,87.1,95.3
STU00126,Female,20,2.7,4.0,5.9,0.0,63.8,61.1,61.6,66.2
STU00127,Female,18,1.5,5.3,6.2,0.1,70.9,68.6,48.9,60.0
STU00128,Male,24,4.6,4.3,6.3,0.6,100.0,66.5,66.5,88.0
STU00129,Male,18,6.2,0.0,8.2,2.5,95.2,82.9,84.3,96.5
STU00130,Male,23,2.7,2.8,8.1,0.4,83.1,79.4,70.1,72.9
STU00131,Other,22,3.5,2.0,7.8,3.0,78.2,72.4,73.5,77.0
STU00132,Female,18,5.7,0.0,8.5,2.3,100.0,95.1,83.5,99.7
STU00133,Male,24,0.7,6.0,7.6,1.5,73.7,66.7,51.4,64.2
STU00134,Female,20,5.0,0.7,9.4,2.2,91.1,85.7,80.8,89.2
STU00135,Female,24,0.3,3.3,8.0,0.8,87.4,61.9,52.5,58.9
STU00136,Male,22,2.8,4.3,7.1,1.2,77.2,75.0,69.4,76.5
STU00137,Male,19,4.3,3.4,8.5,0.0,82.3,75.6,70.5,82.5
STU00138,Female,21,5.3,2.6,8.5,1.9,100.0,82.4,77.9,94.1
STU00139,Male,23,2.9,5.0,4.5,1.5,70.6,50.4,57.5,67.1
STU00140,Female,22,5.0,0.5,6.9,1.3,100.0,72.4,76.7,88.5
STU00141,Female,25,5.2,0.0,7.2,2.8,96.7,79.3,68.4,88.2
STU00142,Male,24,1.0,9.2,5.9,0.0,42.3,56.8,45.3,47.7
STU00143,Female,19,0.0,6.1,7.5,0.6,70.7,73.5,48.9,54.6
STU00144,Female,23,5.2,0.0,6.4,1.8,99.5,78.5,85.2,91.1
STU00145,Male,23,2.9,5.0,7.3,2.1,100.0,69.2,66.9,79.8
STU00146,Male,23,2.6,5.5,6.3,1.3,97.1,64.1,70.5,81.0
STU00147,Other,23,3.4,4.9,9.3,1.5,89.4,84.0,77.8,81.5
STU00148,Female,24,6.3,2.4,8.8,2.1,96.8,79.9,90.0,100.0
STU00149,Male,24,6.5,2.2,8.8,2.3,100.0,83.5,90.7,100.0
STU00150,Female,20,1.1,5.6,5.7,0.4,59.1,59.5,52.9,59.1
STU00151,Female,25,1.8,4.3,5.7,1.5,78.8,63.4,56.5,65.7
STU00152,Female,22,1.2,10.7,5.2,0.3,45.5,46.3,41.8,50.8
STU00153,Male,20,4.3,1.1,6.4,4.1,79.3,81.8,82.5,88.0
STU00154,Male,21,4.4,7.9,8.5,1.6,61.8,76.2,80.5,72.3
STU00155,Male,22,5.0,0.9,9.2,3.7,87.6,89.9,84.7,94.6
STU00156,Female,19,1.0,10.0,5.0,1.1,64.9,43.9,51.6,59.7
STU00157,Female,19,3.8,3.2,7.3,0.4,84.0,67.5,60.3,83.9
STU00158,Male,18,5.0,3.3,6.5,1.6,86.6,79.2,78.6,84.0
STU00159,Female,18,6.6,1.2,7.9,1.5,82.5,82.0,80.8,93.7
STU00160,Female,21,5.3,0.8,7.1,3.2,94.0,80.7,88.5,97.0
STU00161,Male,24,0.0,11.4,6.0,0.0,43.2,49.1,44.2,47.8
STU00162,Male,23,4.2,0.0,7.4,1.1,88.3,80.6,74.2,82.9
STU00163,Female,23,1.4,6.5,7.4,1.2,77.5,68.1,67.2,73.6
STU00164,Male,21,3.7,3.7,6.9,0.0,86.2,66.2,62.1,83.8
STU00165,Male,23,2.7,4.1,6.1,0.6,96.5,69.9,57.3,80.3
STU00166,Female,21,3.1,4.2,4.9,0.0,87.4,66.4,56.3,74.4
STU00167,Male,23,2.9,4.5,4.3,1.4,73.2,54.5,59.5,75.1
STU00168,Male,20,0.6,8.5,4.3,0.0,40.4,47.7,49.0,46.8
STU00169,Male,25,0.8,10.0,7.4,0.0,41.3,57.8,47.2,49.3
STU00170,Female,24,5.3,3.7,8.9,4.3,100.0,81.3,88.9,92.6
STU00171,Female,18,1.1,9.6,7.1,1.0,47.6,54.6,61.1,56.1
STU00172,Female,22,6.2,0.4,6.7,2.5,94.0,80.2,79.4,97.0
STU00173,Male,23,2.5,2.8,6.5,2.9,89.5,67.0,66.5,75.7
STU00174,Male,25,4.3,0.9,9.0,3.1,82.4,87.7,82.8,86.2
STU00175,Female,24,3.2,2.8,5.7,1.7,79.6,71.7,71.6,75.6
STU00176,Male,18,6.1,0.0,8.9,2.2,100.0,84.6,82.3,91.0
STU00177,Male,23,5.7,0.0,7.5,0.7,100.0,83.1,85.6,99.3
STU00178,Other,21,0.6,6.5,5.7,1.4,61.1,53.6,55.8,55.9
STU00179,Female,21,0.6,10.9,6.1,0.0,43.3,58.6,48.6,49.4
STU00180,Male,22,0.4,5.9,5.7,1.0,58.7,57.5,55.8,58.9
STU00181,Male,25,3.7,2.5,7.5,0.8,80.7,87.5,66.2,78.6
STU00182,Male,18,5.0,0.4,8.9,1.0,95.0,91.2,86.9,92.4
STU00183,Female,20,1.5,3.2,6.2,1.5,62.4,76.8,60.1,60.1
STU00184,Male,23,2.6,6.7,5.8,1.5,68.3,62.6,69.0,69.0
STU00185,Female,25,0.0,6.7,6.0,2.1,72.4,65.2,51.9,55.8
STU00186,Female,22,3.3,3.6,7.6,1.2,79.3,75.7,68.8,76.2
STU00187,Female,22,1.3,4.5,4.6,0.9,71.3,49.1,46.7,57.0
STU00188,Male,20,0.0,4.8,6.5,0.0,81.2,67.2,55.8,64.8
STU00189,Female,24,2.4,8.7,5.4,0.0,39.1,50.8,51.1,50.3
STU00190,Male,18,0.2,5.6,4.7,0.3,63.2,58.6,44.9,47.8
STU00191,Male,19,3.4,2.8,7.7,1.2,75.1,75.2,62.9,70.5
STU00192,Female,18,4.5,1.3,9.6,2.7,84.2,90.4,84.4,85.8
STU00193,Female,24,7.0,0.0,7.6,1.1,100.0,85.9,89.5,100.0
STU00194,Female,22,3.1,5.2,5.1,1.4,85.4,52.4,65.9,82.9
STU00195,Male,21,1.6,9.6,4.4,0.0,50.9,43.6,51.0,54.1
STU00196,Female,25,4.2,0.0,6.7,2.1,100.0,79.4,68.9,83.5
STU00197,Female,25,1.7,8.6,7.3,0.0,46.3,64.3,53.2,56.2
STU00198,Male,22,1.5,6.3,4.9,0.3,56.4,51.3,46.3,55.2
STU00199,Female,25,1.6,3.5,6.3,1.8,72.0,67.1,62.2,67.6
STU00200,Female,22,0.0,9.8,5.3,0.0,51.7,45.5,39.5,48.7
STU00201,Male,18,0.0,7.5,5.1,0.0,46.2,46.5,43.5,45.4
STU00202,Male,21,3.8,1.5,7.8,1.3,76.9,76.0,66.1,80.7
STU00203,Female,25,3.0,3.2,7.1,0.0,87.2,67.7,59.2,76.2
STU00204,Male,25,4.3,3.2,8.6,2.1,98.3,75.7,76.7,89.9
STU00205,Female,25,5.4,0.0,6.0,2.6,100.0,82.4,76.0,98.7
STU00206,Female,24,2.4,2.2,7.5,0.8,70.1,77.3,57.8,67.4
STU00207,Male,25,1.6,6.7,5.6,0.0,48.8,56.8,56.4,56.0
STU00208,Male,18,0.0,10.1,5.0,0.0,43.7,43.1,43.0,47.0
STU00209,Female,24,0.0,11.3,4.8,0.7,27.4,47.2,37.5,37.1
STU00210,Male,23,0.0,10.7,4.0,0.2,31.1,44.1,42.4,37.6
STU00211,Female,20,6.2,2.5,8.9,1.4,93.0,82.3,76.8,93.4
STU00212,Male,25,0.2,7.5,4.9,0.1,54.4,56.7,42.9,49.3
STU00213,Male,19,0.0,11.2,5.2,0.6,54.3,44.2,43.5,53.4
STU00214,Female,24,0.0,8.7,5.6,0.0,48.7,52.6,51.8,47.1
STU00215,Female,18,6.0,0.3,8.4,2.1,93.8,87.1,82.4,94.8
STU00216,Male,21,7.1,1.8,6.7,2.8,93.2,74.9,87.5,100.0
STU00217,Female,19,1.2,5.3,5.0,1.6,71.2,59.7,57.8,67.2
STU00218,Female,23,0.0,11.2,6.3,1.0,38.4,55.6,46.0,44.5
STU00219,Male,21,1.7,6.1,4.8,1.0,59.0,54.0,56.4,57.7
STU00220,Female,18,3.0,4.8,6.3,2.1,65.9,61.6,69.9,73.4
STU00221,Other,21,1.1,9.1,4.7,0.3,53.4,47.5,53.0,51.7
STU00222,Male,22,4.2,3.6,5.4,1.6,76.9,67.4,69.6,73.7
STU00223,Other,18,0.0,11.0,5.3,0.0,34.4,50.8,44.8,42.3
STU00224,Male,20,2.5,2.2,6.8,1.7,70.4,71.4,72.6,74.6
STU00225,Female,20,6.2,1.3,7.8,2.4,100.0,75.9,80.1,99.7
STU00226,Male,19,0.0,7.3,5.4,0.3,55.7,50.2,47.6,54.8
STU00227,Female,20,1.9,12.2,4.7,1.9,52.6,37.1,54.3,57.2
STU00228,Female,21,3.8,7.2,7.1,0.3,98.4,65.9,66.7,83.1
STU00229,Male,20,0.0,11.6,5.7,0.3,40.8,41.8,41.3,46.5
STU00230,Female,19,1.8,1.8,7.7,1.2,87.0,83.9,51.4,71.1
STU00231,Female,23,0.9,9.3,4.5,1.2,45.2,49.4,59.6,58.2
STU00232,Female,22,2.2,7.8,7.4,2.6,69.0,63.2,69.2,70.6
STU00233,Female,22,2.3,5.3,7.3,0.5,80.4,74.3,54.7,63.9
STU00234,Female,21,5.2,3.2,8.8,2.8,82.1,81.3,87.0,89.8
STU00235,Male,21,0.9,8.1,4.1,0.0,64.0,52.5,49.2,60.3
STU00236,Female,23,0.5,8.2,4.3,0.0,47.7,45.7,48.5,48.4
STU00237,Male,20,2.7,4.2,7.4,0.6,67.2,71.0,60.6,67.4
STU00238,Female,24,3.7,2.8,7.1,2.7,100.0,74.3,73.0,86.8
STU00239,Male,24,5.1,0.6,6.9,4.1,100.0,79.5,82.1,96.3
STU00240,Male,23,0.0,7.4,6.0,0.9,22.5,58.2,45.4,36.3
STU00241,Female,23,1.1,7.4,6.1,1.0,57.6,56.1,59.0,59.8
STU00242,Female,24,0.3,8.2,6.9,0.3,67.1,58.1,56.8,57.7
STU00243,Male,23,3.5,3.8,7.6,1.4,79.9,79.5,71.7,79.8
STU00244,Male,24,0.2,6.4,7.0,1.0,62.5,69.1,50.6,59.5
STU00245,Female,21,4.0,5.6,6.4,1.9,94.5,66.0,74.5,81.5
STU00246,Female,24,1.4,5.5,5.3,1.3,80.2,61.4,59.4,67.8
STU00247,Other,22,1.3,10.9,6.8,0.0,40.1,51.7,47.9,51.2
STU00248,Male,18,4.5,0.4,5.6,1.2,79.3,78.2,78.6,83.1
STU00249,Female,20,4.7,1.0,7.3,0.4,86.1,73.3,76.1,85.5
STU00250,Male,25,3.3,4.4,5.1,2.5,86.9,62.1,73.5,85.5
STU00251,Male,22,3.0,4.9,7.9,1.3,76.4,78.2,66.9,71.7
STU00252,Female,24,0.1,12.1,4.7,0.3,52.3,44.7,46.4,48.7
STU00253,Male,25,6.2,3.2,9.2,2.8,100.0,84.3,85.6,100.0
STU00254,Male,22,0.6,9.2,5.3,0.0,29.7,48.2,38.4,38.1
STU00255,Female,25,2.8,2.6,6.5,1.4,87.4,63.7,60.2,70.3
STU00256,Male,20,3.8,4.7,7.0,1.3,83.6,76.1,71.4,81.7
STU00257,Male,19,1.7,4.7,6.1,0.5,75.8,56.6,54.1,68.1
STU00258,Male,23,1.7,4.7,7.5,0.9,79.5,71.4,63.3,73.9
STU00259,Female,21,2.0,5.4,7.6,0.4,92.2,70.5,64.4,78.1
STU00260,Male,25,1.5,5.5,6.4,0.5,73.0,62.6,57.7,64.4
STU00261,Female,19,3.5,5.5,6.3,2.0,76.2,63.1,68.3,78.0
STU00262,Male,25,0.4,8.3,4.0,0.8,48.7,48.8,45.8,47.9
STU00263,Male,21,2.8,9.7,6.3,0.2,49.4,53.5,61.2,61.3
STU00264,Female,22,1.1,10.4,6.5,0.8,43.4,55.4,47.8,51.2
STU00265,Other,20,0.0,10.3,7.8,0.1,60.3,58.9,52.8,54.6
STU00266,Male,24,3.6,2.0,7.5,2.7,86.6,74.6,69.8,79.9
STU00267,Female,20,3.0,3.4,6.9,0.0,80.9,71.7,65.0,76.1
STU00268,Female,20,0.6,5.2,5.2,1.0,43.5,61.0,54.4,45.5
STU00269,Male,19,5.1,0.0,8.6,2.0,91.1,97.3,86.4,95.8
STU00270,Male,20,0.3,8.5,5.7,0.4,69.1,58.5,44.4,53.5
STU00271,Female,20,0.0,9.3,6.1,0.8,53.6,59.3,38.5,49.3
STU00272,Female,18,5.8,1.6,7.8,2.6,94.7,79.3,81.9,89.5
STU00273,Male,19,0.0,8.0,4.0,2.8,42.7,47.9,56.2,50.5
STU00274,Female,20,6.0,2.4,8.8,2.0,96.9,83.8,77.0,91.5
STU00275,Male,21,4.6,1.3,8.8,2.0,96.0,77.9,76.9,88.7
STU00276,Male,21,1.3,5.0,6.1,0.6,89.0,66.1,53.1,74.1
STU00277,Female,22,2.1,6.6,5.6,1.3,60.3,62.9,59.3,66.6
STU00278,Male,18,2.4,8.3,5.6,1.8,64.6,57.5,63.0,69.3
STU00279,Male,23,1.5,10.7,4.5,0.0,51.5,43.5,51.1,56.7
STU00280,Female,18,1.9,8.7,5.8,0.0,47.5,49.9,49.2,55.2
STU00281,Female,19,4.3,7.1,6.4,0.7,55.5,64.9,68.2,70.0
STU00282,Female,21,0.0,9.9,7.3,0.1,54.4,58.1,46.7,54.0
STU00283,Female,23,2.0,3.7,5.5,0.2,82.7,56.8,52.5,69.0
STU00284,Female,21,3.4,2.9,6.1,0.9,93.9,70.4,69.2,81.3
STU00285,Male,23,4.5,4.2,6.3,0.8,76.9,64.3,65.7,79.3
STU00286,Male,18,3.0,2.8,7.1,0.9,77.9,71.1,60.7,72.1
STU00287,Male,21,2.5,4.2,8.7,1.8,74.3,76.3,66.8,72.7
STU00288,Female,21,0.8,10.2,4.0,0.0,46.8,39.6,40.6,42.6
STU00289,Other,21,2.2,5.4,7.0,0.4,76.7,68.6,62.7,67.6
STU00290,Female,23,3.7,3.2,5.0,2.0,71.2,60.4,59.2,72.8
STU00291,Male,18,0.0,5.4,6.2,0.9,71.6,68.3,54.6,57.9
STU00292,Female,22,4.0,4.4,7.2,1.5,83.0,71.4,68.6,80.8
STU00293,Male,23,0.0,8.9,6.0,1.6,45.5,46.8,47.7,51.8
STU00294,Male,24,3.7,8.4,5.5,0.5,85.4,56.0,59.9,75.8
STU00295,Male,23,3.9,3.3,6.6,1.7,75.3,69.8,76.6,79.9
STU00296,Female,21,5.4,2.2,7.3,2.4,89.3,78.1,83.5,89.5
STU00297,Female,24,0.0,8.0,4.0,0.0,18.5,53.6,45.1,35.6
STU00298,Male,20,5.5,2.7,6.6,2.4,86.1,76.2,83.9,93.8
STU00299,Female,22,7.3,3.1,8.2,1.0,100.0,80.8,92.4,100.0
STU00300,Female,25,1.2,10.0,6.5,0.3,47.7,51.7,54.4,53.4
STU00301,Male,18,0.4,7.9,5.0,0.3,51.8,43.8,44.2,50.3
STU00302,Other,23,0.0,5.1,5.8,0.0,86.6,63.6,45.7,57.7
STU00303,Male,19,0.2,7.3,5.0,1.2,45.9,52.0,47.5,48.8
STU00304,Male,23,0.0,5.4,6.1,0.1,67.8,54.9,51.0,60.3
STU00305,Male,25,0.0,10.2,6.1,1.6,75.6,51.3,56.4,63.5
STU00306,Male,22,5.6,1.2,8.0,3.1,95.6,82.2,88.7,100.0
STU00307,Female,22,1.5,9.4,6.3,1.1,40.7,52.0,47.0,49.2
STU00308,Female,21,2.3,4.9,6.5,0.5,83.0,71.7,58.8,68.1
STU00309,Male,19,3.8,5.8,7.1,2.0,90.3,68.9,76.0,88.1
STU00310,Other,25,2.7,5.0,7.9,1.2,88.3,69.0,61.2,77.7
STU00311,Female,21,5.9,0.9,8.3,1.6,98.1,82.8,84.9,97.2
STU00312,Other,24,6.2,0.9,7.8,2.2,100.0,79.1,77.3,98.4
STU00313,Male,20,5.7,3.2,9.4,1.1,89.8,88.0,81.1,88.1
STU00314,Male,24,1.8,2.5,6.4,1.3,76.2,67.2,63.2,70.9
STU00315,Male,18,0.6,7.5,5.2,0.0,43.3,54.0,44.6,42.3
STU00316,Female,23,4.0,1.3,6.7,0.0,85.9,73.6,65.5,80.7
STU00317,Other,21,7.0,2.2,7.9,3.5,93.5,74.9,94.8,100.0
STU00318,Female,25,2.2,4.3,8.0,2.0,87.6,74.3,60.6,71.9
STU00319,Other,22,4.5,0.6,8.4,2.5,96.3,85.9,81.0,87.5
STU00320,Female,22,1.2,0.0,7.2,0.4,70.5,79.0,57.4,69.2
STU00321,Male,20,1.9,4.1,7.1,1.3,87.7,72.4,65.9,70.0
STU00322,Female,25,0.2,11.3,4.8,0.0,50.2,43.9,45.1,53.5
STU00323,Female,21,4.9,2.2,6.2,1.7,66.0,70.0,78.4,79.1
STU00324,Female,23,1.2,5.8,7.0,0.5,65.4,75.8,66.9,68.1
STU00325,Female,25,1.7,3.4,5.1,0.4,77.0,64.2,51.6,58.3
STU00326,Male,25,1.3,10.5,5.6,0.0,39.3,50.0,53.0,54.4
STU00327,Male,23,1.6,11.7,4.0,1.8,32.4,39.9,57.8,52.0
STU00328,Other,20,0.0,10.0,5.3,0.0,40.2,49.9,46.2,44.5
